state,state_name,rank,total_population,race_ethnicity_population_american_indian_and_alaska_native,race_ethnicity_population_asian,race_ethnicity_population_black,race_ethnicity_population_hispanic_or_latino,race_ethnicity_population_native_hawaiian_and_other_pacific_islander,race_ethnicity_population_other,race_ethnicity_population_white,share_american_indian_and_alaska_native,share_asian,share_black,share_hispanic_or_latino,share_native_hawaiian_and_other_pacific_islander,share_other,share_white,state_population_weight
IA,Iowa,31,3190369,9079,75017,129321,215986,5605,8487,2638201,0.00294610500192102,0.02434276450370185,0.04196423008629015,0.07008673146215591,0.00181880367174439,0.00275400299056104,0.8560873622836256,0.00963756075703727
NV,Nevada,32,3104614,23392,265991,291960,890257,22970,17171,1425952,0.00796271087550673,0.09054417871438576,0.09938410855048502,0.30304630197913807,0.00781906073915824,0.00584506277544998,0.4853985763658762,0.009378509524179963
AR,Arkansas,33,3011524,20549,51210,449884,256847,14280,8047,2063550,0.00717401087221016,0.01787829562343093,0.15706227588852964,0.08966972458487338,0.00498539467882432,0.00280934670731788,0.7204209516448137,0.009097300507018439
MS,Mississippi,34,2961279,14019,32305,1079001,105220,1037,7174,1639077,0.00487137370375556,0.01122546026819485,0.37493523772922194,0.03656223276333269,3.603405757040106e-4,0.0024928479171654502,0.5695525070426255,0.008945518929327162
KS,Kansas,35,2937880,21921,85225,163352,382603,3115,10064,2122575,0.00786021503448547,0.03055913627635714,0.05857314202423575,0.13718999374295185,0.00111694584336582,0.00360864942781177,0.7610919176507922,0.008874834540106381
NM,New Mexico,36,2117522,188610,35261,38330,1010811,1451,10340,772952,0.09165814200427164,0.01713566483862267,0.01862709603427035,0.4912202861856732,7.05137394879371e-4,0.0050248936340818,0.3756287799082009,0.006396672901900399
NE,Nebraska,37,1961504,15051,52359,94405,234715,1318,6335,1484687,0.00796825615314976,0.02771974778571315,0.04997961744323325,0.12426212497419092,6.977716835991889e-4,0.00335385706798244,0.7860186248921313,0.005925369126634453
ID,Idaho,38,1839106,18903,26036,14785,239407,3401,8243,1450523,0.01073242574510389,0.01478227988676532,0.00839437732853838,0.13592645878210274,0.00193096227895563,0.00468007117478132,0.8235534248037527,0.005555625638799708
WV,West Virginia,39,1793716,3187,14903,64749,34827,429,4652,1598834,0.00185120537459463,0.00865657787812481,0.03761019667387128,0.02022966099184412,2.4918955309102505e-4,0.00270216736825046,0.9287010021602236,0.0054185101882791185
HI,Hawaii,40,1415872,2321,531558,21877,138923,149054,5283,314365,0.00199504719434132,0.4569079261222248,0.01880467361939038,0.11941315871584632,0.12812139789114657,0.00454107467802895,0.2702167217790217,0.0042771078907135425
